empresa,ejercicio,asiento,orden,fecha_entrada,fecha_contable,usuario,subcta,importe_debe,debe_base,debe_euro,importe_haber,haber_base,haber_euro,tipo,moneda,cambio,cambio_euro,fecha_valor,concepto,descripcion_1,descripcion_2,documento,subcta_contrap,impreso,fecha_impreso,asiento_definitivo,orden_definitivo,diario,procedencia,estado,centro,p_s,p_sd,triangulado,iden,empresa_id,ejercicio_id,subcta_id,moneda_id,subcta_contrap_id,name
1,2023,23002832,78,2024-02-16,2023-12-31,inagasa1,5720000,0.00000,0.00000,,377495.90000,377495.90000,,H,9,1.000000,,2023-12-31,61,Cierre,,,,S,,23002829,78,0,612,,,,,,,1,1_2023,1_5720000,9,1_5720000,1_23002832_78
1,2023,23000657,2,2023-03-28,2023-03-27,inagasa1,5720000,512.01000,512.01000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,41,Remesa n/fra,23000088,,430,S,,23000657,2,0,300,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000657_2
19,2023,23000018,1,2023-04-12,2023-03-20,inagasa1,4400004,63.68000,63.68000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,NEUMATICOS SOLEDAD,Fra.I 0000006926,,6290011,,,0,0,0,600,,,,,,,19,19_2023,19_4400004,9,19_4400004,19_23000018_1
1,2023,23000667,1,2023-03-28,2023-03-27,inagasa1,4000314,0.00000,0.00000,,1437.48000,1437.48000,,H,9,1.000000,,2023-03-27,21,Su factura,2023-A/30232,23000196,,,,23000667,1,0,210,,,,,,,1,1_2023,1_4000314,9,1_4000314,1_23000667_1
19,2023,23000019,1,2023-04-12,2023-03-28,inagasa1,4400003,175.00000,175.00000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,ROCA ROCA  ,Alb. A-V/10569,,6020011,,,0,0,0,600,,,,,,,19,19_2023,19_4400003,9,19_4400003,19_23000019_1
19,2023,23000019,2,2023-04-12,2023-03-28,inagasa1,6020011,0.00000,0.00000,0.00000,175.00000,175.00000,0.00000,H,9,1.000000,0.000000,,0,ROCA ROCA  ,Alb. A-V/10569,,4400003,,,0,0,0,600,,,,,,,19,19_2023,19_6020011,9,19_6020011,19_23000019_2
19,2023,23000017,1,2023-04-12,2023-03-01,inagasa1,4400004,7.23000,7.23000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,IMECAT Alb.A3157,,,6040011,,,0,0,0,600,,,,,,,19,19_2023,19_4400004,9,19_4400004,19_23000017_1
19,2023,23000017,2,2023-04-12,2023-03-01,inagasa1,6040011,0.00000,0.00000,0.00000,7.23000,7.23000,0.00000,H,9,1.000000,0.000000,,0,IMECAT Alb.A3157,,,4400004,,,0,0,0,600,,,,,,,19,19_2023,19_6040011,9,19_6040011,19_23000017_2
19,2023,23000020,1,2023-04-12,2023-03-30,inagasa1,4400005,1186.74000,1186.74000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,REMM Fra. T123 722,,,6222511,,,0,0,0,600,,,,,,,19,19_2023,19_4400005,9,19_4400005,19_23000020_1
19,2023,23000020,2,2023-04-12,2023-03-30,inagasa1,6222511,0.00000,0.00000,0.00000,1186.74000,1186.74000,0.00000,H,9,1.000000,0.000000,,0,REMM Fra. T123 722,,,4400005,,,0,0,0,600,,,,,,,19,19_2023,19_6222511,9,19_6222511,19_23000020_2
