ccc1,nombre,swift,name
0015,BANCA CATALANA,,0015
0019,DEUTSCHE BANK,DEUTESBB,0019
0020,BANCO DEL COMERCIO,,0020
0029,CREDIT LYONNAIS,,0029
0030,BANESTO,,0030
0042,BANCO GUIPUZCOANO,,0042
0049,BANCO SANTANDER CENTRAL HISPANO S.A,BSCHESMM,0049
0050,BANCO DEL COMERCIO,,0050
0063,BANCO MAPFRE,,0063
0081,BANCO DE SABADELL,BSABESBB,0081
0082,BANCO DE CASTILLA,,0082
0085,BANCO DE SANTANDER,,0085
0087,SINDICADO DE BANQUEROS DE BCN,,0087
0103,BANCO ZARAGOZANO,,0103
0104,BANCO BILBAO VIZCAYA ARGENTARIA,,0104
0112,BANCO URQUIJO UNION,,0112
0127,BANCO DE ALICANTE,,0127
0128,BANKINTER,BKBKESMMXXX,0128
0182,BANCO BILBAO VIZCAYA ARGENTARIA,BBVAESMM,0182
2013,CATALUNYA CAIXA,CESCESBB,2013
2051,CAJA AHORROS Y M.P DE BALEARES,,2051
2059,CAIXA DE SABADELL,BBVAESMMXXX,2059
2074,CAIXA D'ESTALVIS DE TERRASSA,,2074
2077,BANCAJA,,2077
2081,CAIXA PENEDES,,2081
2090,CAJA AHORROS MEDITERRANEO,,2090
2091,CAJA DE AHORROS DE GALICIA,,2091
2100,CAIXA BANK,CAIXESBB,2100
2086,BANCO GRUPO CAJATRES S.A.U.,CECAESMM086,2086
0024,BANCO DE CREDITO BALEAR,,0024
2042,CAIXA D'ESTALVIS LAIETANA,,2042
2030,CAIXA DE GIRONA,,2030
3035,CAJA LABORAL,CLPEES2MXXX,3035
2038,BANKIA,CAHMESMM,2038
b0024,BANCO MERCANTIL DE TARRAGONA,,b0024
0075,BANCO POPULAR ESPAÑOL,POPUESMM,0075
0095,BANCO VAZCONIA,,0095
s0001,TUSQUETS-CORREDURIA DE SEGUROS SA,,s0001
0156,ABN AMRO Bank,,0156
2048,CAJASTUR,,2048
3008,CAJA RURAL DE NAVARRA,,3008
2068,CAJA CANTABRIA,,2068
0185,BC.URQUIJO SABADELL BP SA,,0185
2024,CAJA SUR,,2024
0065,BARCLAYS,,0065
2037,C.E.DE LA RIOJA,,2037
2103,UNICAJA,,2103
2094,CAJA DE AHORROS Y M.P. DE AVILA,,2094
0093,BANCO DE VALENCIA,,0093
2096,CAJA ESPAÑA,,2096
2101,KUTXA,,2101
2085,CAJA AHORROS IBERCAJA,CAZRES2Z,2085
0072,BANCO PASTOR,,0072
DE6230,DRESDNER BANK AG,,DE6230
2041,CAIXA D'ESTALVIS DE MANRESA,,2041
3092,CAJA RURAL DE ZARAGOZA,,3092
2018,CAJA DE BURGOS,,2018
0487,BANCO MARE NOSTRUM S.A.,GBMNESMM,0487
2095,BILBAO BIZKAIA KUTXA,BASKES2B,2095
3058,CAJAMAR,CCRIES2A,3058
3701,BNP PARIBAS FACTOR GMBH,GEBADE33,3701
3191,BANTIERRA,BCOEESMM,3191
3025,CAIXA CREDIT DELS ENGINYERS SDAD.CO,CDENESBB,3025
3159,CAIXA POPULAR C.R.SDAD.COOP.DE CRED,BCOEESMM159,3159
3003,"HSBC Trinkaus & Burkhardt AG, Düsse",TUBDDEDD,3003
