ccc1,ccc2,nombre,direccion,poblacion,provincia,pais,cp,telefono,fax,p_contacto,swift,iban,ccc1_id,name
0081,0141,OFICINA BADALONA,,,,,,,,,,,0081,0081_0141
0049,3077,BARCELONA,"Constitució, 33-35",BARCELONA,8,34,14,,,,,,0049,0049_3077
0015,4235,TORELLO,,,,,,,,,,,0015,0015_4235
0020,9290,BANCO DEL COMERCIO,,,,,,,,,,,0020,0020_9290
0030,2005,BANESTO,,,,34,,,,,,,0030,0030_2005
0081,0026,BARCELONA,,,,,,,,,,,0081,0081_0026
0050,9497,BANCO DEL COMERCIO,,,,34,,,,,,,0050,0050_9497
b0024,a0000,BMT,,,,34,,,,,,,b0024,b0024_a0000
0082,5707,BANCO DE CASTILLA,,,,34,,,,,,,0082,0082_5707
0085,a0006,BS,,,,34,,,,,,,0085,0085_a0006
0030,2273,AG.MASSANET DE LA SELVA,"Els Dolors, 2",MASSANET DE LA SELVA,17,34,412,,,,,,0030,0030_2273
0104,0030,BEE,,,,34,,,,,,,0104,0104_0030
0081,0079,BS,,,,,,,,,,,0081,0081_0079
0127,2041,BA,,,,34,,,,,,,0127,0127_2041
0128,0525,BANKINTER,,,,34,,,,,,,0128,0128_0525
0156,0002,,"C/Consejo de Ciento, 334-336 6ª pl",BARCELONA,8,34,9,,,,,,0156,0156_0002
2048,0047,,,,,,,,,,,,2048,2048_0047
2048,,,,,,,,,,,,,2048,2048_
3008,0062,CINTRUENIGO,"Rua,7",CINTRUENIGO,,34,,,,,,,3008,3008_0062
0030,2386,BANESTO,,,,,,,,,,,0030,0030_2386
0081,5172,BS,,,,,,,,,,,0081,0081_5172
0182,5415,BBVA,,,,,,,,,,,0182,0182_5415
0182,4207,BBVA,,,,,,,,,,,0182,0182_4207
0182,0229,BBVA,,,,,,,,,,,0182,0182_0229
0185,7942,BILBAO,,,,,,,,,,,0185,0185_7942
0075,0323,BPE,,,,,,,,,,,0075,0075_0323
2024,0162,CS,,,,,,,,,,,2024,2024_0162
0065,1130,BARCLAYS,,,,,,,,,,,0065,0065_1130
2037,0123,LOGROÑO,"Avda. Madrid, 1",LOGROÑO,26,34,6,,,,,,2037,2037_0123
2103,5580,UNICAJA,,,,,,,,,,,2103,2103_5580
0182,0959,COLMENAR VIEJO,"Plaza del Pueblo, 5",COLMENAR VIEJO,28,34,770,,,,,,0182,0182_0959
0093,1458,BV,,,,,,,,,,,0093,0093_1458
2086,0029,ZARAGOZA,"Pza. Serrano Berges, s/n.",ZARAGOZA,50,34,16,,,,,,2086,2086_0029
2096,0678,ZARAGOZA,"C/ Marques de la Cadena, 52",ZARAGOZA,50,34,14,,,,,,2096,2096_0678
2101,0202,KUTXA,,,,,,,,,,,2101,2101_0202
2100,0327,TERRASSA,"AVD.ANGEL SALLENT, 80-84",TERRASSA,8,34,,,,,,,2100,2100_0327
2085,0365,ZARAGOZA,"AVD.REAL ZARAGOZA, 3",ZARAGOZA,50,34,,,,,,,2085,2085_0365
0081,5084,BS,,,,,,,,,,,0081,0081_5084
0072,0716,BP,,,,,,,,,,,0072,0072_0716
DE6230,0800,DBA,,,,,,,,,,,DE6230,DE6230_0800
0081,5154,AG.5154,"Plaça Sant Roc, 20",SABADELL,8,34,7,,,,,,0081,0081_5154
0075,0136,PERE IV,"C/Pere IV, 139",BARCELONA,8,34,18,,,,,,0075,0075_0136
0049,4716,GRACIA,"Torrent de l'Olla, 102",BARCELONA,8,34,12,,,,,,0049,0049_4716
0024,6921,FERRERIES,"Pl.Princep Joan Carles, 6",FERRERIES,7,34,750,,,,,,0024,0024_6921
2068,0093,CC,,,,,,,,,,,2068,2068_0093
0182,5424,MARTORELL,"C/Pep Ventura, 17",MARTORELL,8,34,760,,,,,,0182,0182_5424
0049,3397,BARCELONA,"Bogatell, 82-86",BARCELONA,8,34,5,,,,,,0049,0049_3397
2013,0845,LA SOLANA,"Ctra. Nacional II, 111-113",SANT ANDREU DE LA BARCA,8,34,740,936820120,936822221,SR.NAVARRO-SR.OLIVA-FERRA,,,2013,2013_0845
0030,3081,BANESTO,,,,,,,,,,,0030,0030_3081
0049,1910,BSCH,,,8,34,,,,,,,0049,0049_1910
0095,4628,BV,,,,,,,,,,,0095,0095_4628
0049,2356,BSCH,,,,,,,,,,,0049,0049_2356
2100,3349,CEPB,,,,,,,,,,,2100,2100_3349
2013,0394,LA CAIXA,,,,,,,,,,,2013,2013_0394
2041,0033,CEM,,,,,,,,,,,2041,2041_0033
0182,5430,BBVA,,,,,,,,,,,0182,0182_5430
2041,0142,CEM,,,,,,,,,,,2041,2041_0142
2100,1125,CEPB,,,8,34,,,,,,,2100,2100_1125
2081,0432,PROVENÇALS,"PROVENÇALS, 10",BARCELONA,8,34,19,,,,,,2081,2081_0432
0049,1851,BSCH,,,8,34,,,,,,,0049,0049_1851
2013,0224,LA CAIXA,,,,34,,,,,,,2013,2013_0224
0128,0550,O.P.GIRONA,,,17,34,,,,,,,0128,0128_0550
0049,6015,ARGANDA DEL REY,O.E.P.Arganda del Rey AG.1,ARGANDA DEL REY,28,34,500,,,,,,0049,0049_6015
2042,0048,CEL,,,8,34,,,,,,,2042,2042_0048
0182,1772,PERE IV,"Pere IV, 214-216",BARCELONA,8,34,5,,,,,,0182,0182_1772
2100,2720,CERDANYOLA,"AVDA. DE CANALETAS,35",CERDANYOLA DEL VALLES,8,34,290,,,,,,2100,2100_2720
2081,0272,CP,,,8,34,,,,,,,2081,2081_0272
0081,0073,BS,,,8,34,,,,,,,0081,0081_0073
0049,1885,BSCH,"RAMBLA, 95",SABADELL,8,34,202,,,,,,0049,0049_1885
0049,4752,BSCH,"TRAVESSERA DE DALT,60",BARCELONA,8,34,24,,,,,,0049,0049_4752
3092,0042,CRZ,,,,,,,,,,,3092,3092_0042
0075,0137,TORELLO,"SANT MIQUEL,34",TORELLO,8,34,570,,,,,,0075,0075_0137
0182,2639,BBVA,,,,,,,,,,,0182,0182_2639
0049,1911,BSCH,,,8,34,,,,,,,0049,0049_1911
0182,5405,GRACIA,"Po. de Gracia, 84",BARCELONA,8,34,,,,,,,0182,0182_5405
0030,2047,BANESTO,,,43,34,,,,,,,0030,0030_2047
0049,5289,RUBI,,RUBI,8,34,191,,,,,,0049,0049_5289
0104,2154,BEE,,,,,,,,,,,0104,0104_2154
0182,2363,O.P. (EMPRESAS),"DUQUE DE LA VICTORIA, 12",VALLADOLID,47,34,1,,,,,,0182,0182_2363
0182,5404,ZONA FRANCA,"P.ZONA FRANCA, 138",BARCELONA,8,34,38,,,,,,0182,0182_5404
2013,0866,LA CAIXA,,,8,34,,,,,,,2013,2013_0866
0182,2357,PAMPLONA,"AVDA.CARLOS III, 33",PAMPLONA,31,34,4,,,,,,0182,0182_2357
0075,0547,BPE,,,,,,,,,,,0075,0075_0547
0081,0022,BS,,,,,,,,,,,0081,0081_0022
2090,6923,MANRESA,"Angel Guimera, 61",MANRESA,8,34,240,,,,,,2090,2090_6923
0049,3281,MADRID,"Sanchez Barcaiztegui, 3",MADRID,28,34,7,,,,,,0049,0049_3281
2051,0096,CAMPB,,,,34,,,,,,,2051,2051_0096
0049,0548,TRAVESERA DE DALT,"Travesera de Dalt, 62",BARCELONA,8,34,24,,,,,,0049,0049_0548
0030,2138,BANESTO,,,,,,,,,,,0030,0030_2138
0024,6925,MENORCA,P.INDUSTRIAL DE MAHON,MENORCA,7,34,,,,,,,0024,0024_6925
0182,5563,LLODIO,"C/Virgen del Carmen, 8",LLODIO,1,34,400,,,,,,0182,0182_5563
2100,3657,CEPB,,,,,,,,,,,2100,2100_3657
2100,3265,CEPB,,,8,34,,,,,,,2100,2100_3265
2059,0150,CS,,,,34,,,,,,,2059,2059_0150
2059,0310,MOLLET,,MOLLET DEL VALLES,8,34,,,,,,,2059,2059_0310
2013,0844,POLINYA,,,8,34,,,,,,,2013,2013_0844
0085,0726,MOLLET,,,8,34,,,,,,,0085,0085_0726
0081,0105,BS,,,,,,,,,,,0081,0081_0105
0081,0051,SANT FELIU DE LLOBREGAT,"Plaza de la Vila, 1",SANT FELIU DE LLOBREGAT,8,34,980,,,,,,0081,0081_0051
0030,2343,BARCELONA,"Enamorats, 62",BARCELONA,8,34,13,,,,,,0030,0030_2343
0081,0059,BARCELONA,,BARCELONA,8,34,,,,,,,0081,0081_0059
0042,0077,GERNIKA,,,48,34,300,,,,,,0042,0042_0077
0049,0191,TORELLO,,TORELLO,8,34,572,,,,,,0049,0049_0191
