empresa,codigo,descripcion_1,descripcion_2,v_int,v_dec1,v_dec2,v_char,parametro,empresa_id,name
19,20008,FACTURAS DE SERVICIOS. Siempre que el parametro 20006 este con la opcion 0.,0 - No permite la introduccion manual.  1 - Permite la introduccion manual.,,,,,0,19,19_20008
999,80000,****** CONTROL USUARIO-EMPRESA *********,0 - Desactivado                         1 - Activado,,,,,0,999,999_80000
999,80001,MODULO DE PAQUETES,0 - Desactivado                         1 - Activado,,,,,0,999,999_80001
999,999998,,,,,,,0,999,999_999998
999,999999,***    PARAMETRO EXCLUSIVO SOFT      ***'0' No se activa.,"'1' Se activa el ""set explain on"".",,,,,0,999,999_999999
999,1318,********** USO EXCLUSIVO TPV ***********0 - Permite introducir lineas con cantid,ad cero.                                1 - No Permite.,,,,,0,999,999_1318
999,1319,***** TPV ( AGENCIAS TRANSPORTE ) ******0 - No Pide Agencia de Transporte y zona, de entrega en albaranes o Facturas.    1 - Activado.,,,,,0,999,999_1319
999,1320,********** TPV ( MANUALES ) ************0 - No controla la longitud del nif.,1 - Controla la longitud del nif en todos los documentos . 2 - Todos excepto PP.,0,,,,0,999,999_1320
999,324,******* VENTAS ( MANUALES ) ************0 - No Controla la longitud del nif.,1 - Controla la longitud del nif en todos los documentos. 2 - Todos excepto PP.,0,,,,0,999,999_324
999,325,******** COMPRAS ( MANUALES )  *********0 - No controla la longitud del nif.,1 - Controla la longitud del nif en todos los documentos. 2 - Todos excepto PP.,0,,,,0,999,999_325
19,1318,********** USO EXCLUSIVO TPV ***********0 - Permite introducir lineas con cantid,ad cero.                                1 - No Permite.,,,,,0,19,19_1318
1,1318,********** USO EXCLUSIVO TPV ***********0 - Permite introducir lineas con cantid,ad cero.                                1 - No Permite.,,,,,0,1,1_1318
1,1313,***** PANTALLA DE VENDEDORES (TPV) *****,0 - Pide el vendedor al cargar el TPV.  1 - No lo Pide.,,,,,1,1,1_1313
19,1313,***** PANTALLA DE VENDEDORES (TPV) *****,0 - Pide el vendedor al cargar el TPV.  1 - No lo Pide.,,,,,1,19,19_1313
1,1056,"Ventana ""Permitir Facturar Agrupado ...""0 -> Abre la ventana (STANDARD)","1 -> NO abre la ventana. Fijo=""SI""      2 -> NO abre la ventana. Fijo=""NO""",,,,,0,1,1_1056
19,1056,"Ventana ""Permitir Facturar Agrupado ...""0 -> Abre la ventana (STANDARD)","1 -> NO abre la ventana. Fijo=""SI""      2 -> NO abre la ventana. Fijo=""NO""",,,,,1,19,19_1056
1,1072,Confirmar la impresion:                 0 -> NO se pide confirmacion.,1 -> Se pedira confirmacion.,,,,*** USO EXCLUSIVO T.P.V. ***,1,1,1_1072
19,1072,Confirmar la impresion:                 0 -> NO se pide confirmacion.,1 -> Se pedira confirmacion.,,,,*** USO EXCLUSIVO T.P.V. ***,1,19,19_1072
1,29,Tratamiento Vendedores en el T.P.V.     `1`--> Trabaja con el vendedor del T.P.V,`2`--> Trabaja con los vendodres de la         ficha del cliente.,,,,,2,1,1_29
999,343,* Facturacion Agrupada de Ventas ( Encuentra el almacen de facturacion ) *  0 - ,A partir de la subcuenta 1 - A partir de la subcuenta facturacion.,,,,"",0,999,999_343
999,30004,Dias Riesgo sobre cartera remesada      en v_int,"",10,,,"",0,999,999_30004
1,11142,*** NO SE USA ***, ,,,,,0,1,1_11142
19,11142,*** NO SE USA ***, ,,,,,0,19,19_11142
999,11142,*** NO SE USA ***, ,,,,,0,999,999_11142
1,11143,*** NO SE USA ***, ,,,,,0,1,1_11143
19,11143,*** NO SE USA ***, ,,,,,0,19,19_11143
999,11143,*** NO SE USA ***, ,,,,,0,999,999_11143
1,11144,*** NO SE USA ***, ,,,,,0,1,1_11144
19,11144,*** NO SE USA ***, ,,,,,0,19,19_11144
999,11144,*** NO SE USA ***, ,,,,,0,999,999_11144
1,11145,*** NO SE USA ***, ,,,,,0,1,1_11145
19,11145,*** NO SE USA ***, ,,,,,0,19,19_11145
999,11145,*** NO SE USA ***, ,,,,,0,999,999_11145
1,11146,*** NO SE USA ***, ,,,,,0,1,1_11146
19,11146,*** NO SE USA ***, ,,,,,0,19,19_11146
999,11146,*** NO SE USA ***, ,,,,,0,999,999_11146
1,11147,*** NO SE USA ***, ,,,,,0,1,1_11147
19,11147,*** NO SE USA ***, ,,,,,0,19,19_11147
999,11147,*** NO SE USA ***, ,,,,,0,999,999_11147
1,11148,*** NO SE USA ***, ,,,,,0,1,1_11148
19,11148,*** NO SE USA ***, ,,,,,0,19,19_11148
999,11148,*** NO SE USA ***, ,,,,,0,999,999_11148
1,11149,*** CONTABILIZACION DESCUENTO 2 Y 3  ***'1' Sctas Dtos No Def. Imputa Scta Venta,'0' Sctas Dtos No Def. Cancela Facturac.,,,,,0,1,1_11149
