moneda_ref,moneda,fecha_inicio,valor_c,valor_v,tipo,moneda_id,name
2,1,1993-05-31,99.000000,101.000000,,1,2_1_1993-05-31
1,2,1993-05-07,0.010600,0.010700,,2,1_2_1993-05-07
2,1,1993-05-07,106.000000,107.000000,,1,2_1_1993-05-07
1,2,1993-05-28,0.980000,1.025000,,2,1_2_1993-05-28
2,1,1993-05-28,98.000000,102.500000,,1,2_1_1993-05-28
1,2,1993-05-31,0.975000,1.002500,,2,1_2_1993-05-31
1,2,1993-06-02,0.009500,0.010000,,2,1_2_1993-06-02
2,1,1993-06-02,101.000000,102.250000,,1,2_1_1993-06-02
1,4,1993-06-30,0.050000,0.050000,,4,1_4_1993-06-30
1,2,1993-06-30,0.015000,0.015000,,2,1_2_1993-06-30
2,1,1993-06-30,100.000000,100.000000,,1,2_1_1993-06-30
1,3,1993-06-30,1.000000,1.000000,,3,1_3_1993-06-30
3,1,1993-06-30,0.010000,0.010000,,1,3_1_1993-06-30
4,1,1993-06-30,20.000000,20.000000,,1,4_1_1993-06-30
1,4,1993-09-24,0.200000,0.200000,1,4,1_4_1993-09-24
1,2,1993-09-24,0.007700,0.007700,1,2,1_2_1993-09-24
2,1,1993-09-24,130.000000,130.000000,1,1,2_1_1993-09-24
1,2,1993-12-31,0.013000,0.013000,2,2,1_2_1993-12-31
2,1,1993-12-31,130.000000,130.000000,2,1,2_1_1993-12-31
1,3,1993-12-31,0.010000,0.010000,2,3,1_3_1993-12-31
3,1,1993-12-31,0.010000,0.010000,2,1,3_1_1993-12-31
1,4,1994-11-07,25.000000,27.000000,1,4,1_4_1994-11-07
1,2,1994-11-07,0.007500,0.007500,1,2,1_2_1994-11-07
1,4,1994-03-23,0.050000,0.050000,1,4,1_4_1994-03-23
1,4,1994-03-08,0.050000,0.050000,1,4,1_4_1994-03-08
1,4,1993-12-31,0.040000,0.040000,2,4,1_4_1993-12-31
1,2,1994-03-08,0.007500,0.007500,1,2,1_2_1994-03-08
1,4,1993-12-31,0.040000,0.040000,1,4,1_4_1993-12-31
1,2,1993-12-31,0.013000,0.013000,1,2,1_2_1993-12-31
2,1,1993-12-31,130.000000,130.000000,1,1,2_1_1993-12-31
1,3,1993-12-31,0.010000,0.010000,1,3,1_3_1993-12-31
3,1,1993-12-31,0.010000,0.010000,1,1,3_1_1993-12-31
4,1,1993-12-31,20.000000,20.000000,1,1,4_1_1993-12-31
1,1,1993-12-31,1.000000,1.000000,1,1,1_1_1993-12-31
4,1,1993-12-31,20.000000,20.000000,2,1,4_1_1993-12-31
1,1,1993-12-31,1.000000,1.000000,2,1,1_1_1993-12-31
2,1,1994-03-08,130.000000,130.000000,1,1,2_1_1994-03-08
1,3,1994-03-08,0.001000,0.001000,1,3,1_3_1994-03-08
3,1,1994-03-08,0.100000,0.100000,1,1,3_1_1994-03-08
4,1,1994-03-08,20.000000,20.000000,1,1,4_1_1994-03-08
1,1,1994-03-08,1.000000,1.000000,1,1,1_1_1994-03-08
1,2,1994-03-23,0.007700,0.007700,2,2,1_2_1994-03-23
1,4,1994-03-15,0.050000,0.050000,2,4,1_4_1994-03-15
1,2,1994-03-15,0.006800,0.006800,2,2,1_2_1994-03-15
2,1,1994-03-15,147.000000,147.000000,2,1,2_1_1994-03-15
4,1,1994-03-15,20.000000,20.000000,2,1,4_1_1994-03-15
1,1,1994-03-15,1.000000,1.000000,2,1,1_1_1994-03-15
1,2,1994-03-23,0.007700,0.007700,1,2,1_2_1994-03-23
