moneda_ref,moneda,base,dif_pos,dif_neg,subcta_comp,moneda_id,name
1,4,100,,,,4,1_4
1,2,1,,,,2,1_2
2,1,1,7608000,6608000,5720000,1,2_1
1,3,100,,,,3,1_3
3,1,100,,,,1,3_1
4,1,1,,,,1,4_1
1,1,1,,,,1,1_1
2,2,1,,,,2,2_2
4,4,1,,,,4,4_4
1,5,1,,,,5,1_5
10,1,1,,,,1,10_1
6,1,1,,,,1,6_1
1,6,100,,,,6,1_6
9,1,1,7608000,6608000,5720000,1,9_1
1,9,1,,,,9,1_9
7,1,1,7608000,6608000,5720000,1,7_1
1,7,1,,,,7,1_7
5,1,1,7608000,6608000,5720000,1,5_1
9,7,1,,,,7,9_7
9,2,1,,,,2,9_2
9,4,1,,,,4,9_4
9,5,1,,,,5,9_5
9,3,1,,,,3,9_3
2,9,1,,,,9,2_9
5,9,1,,,,9,5_9
7,9,1,,,,9,7_9
3,9,1,,,,9,3_9
4,9,1,,,,9,4_9
9,9,1,,,,9,9_9
