empresa,ejercicio,fecinicio,fecfinal,estado,empresa_id,name
1,1995,1995-01-01,1995-12-31,C,1,1_1995
1,1996,1996-01-01,1996-12-31,C,1,1_1996
1,1997,1997-01-01,1997-12-31,C,1,1_1997
1,1998,1998-01-01,1998-12-31,C,1,1_1998
1,2005,2005-01-01,2005-12-31,C,1,1_2005
1,1999,1999-01-01,1999-12-31,C,1,1_1999
1,2000,2000-01-01,2000-12-31,C,1,1_2000
1,2001,2001-01-01,2001-12-31,C,1,1_2001
1,2003,2003-01-01,2003-12-31,C,1,1_2003
1,2004,2004-01-01,2004-12-31,C,1,1_2004
19,1995,1995-01-01,1995-12-31,C,19,19_1995
19,1996,1996-01-01,1996-12-31,C,19,19_1996
19,1997,1997-01-01,1997-12-31,C,19,19_1997
19,1998,1998-01-01,1998-12-31,C,19,19_1998
19,2005,2005-01-01,2005-12-31,C,19,19_2005
19,1999,1999-01-01,1999-12-31,C,19,19_1999
19,2000,2000-01-01,2000-12-31,C,19,19_2000
19,2001,2001-01-01,2001-12-31,C,19,19_2001
19,2002,2002-01-01,2002-12-31,C,19,19_2002
19,2003,2003-01-01,2003-12-31,C,19,19_2003
19,2004,2004-01-01,2004-12-31,C,19,19_2004
1,2006,2006-01-01,2006-12-31,C,1,1_2006
19,2006,2006-01-01,2006-12-31,C,19,19_2006
1,2007,2007-01-01,2007-12-31,C,1,1_2007
19,2007,2007-01-01,2007-12-31,C,19,19_2007
1,2008,2008-01-01,2008-12-31,C,1,1_2008
19,2008,2008-01-01,2008-12-31,C,19,19_2008
1,2009,2009-01-01,2009-12-31,C,1,1_2009
19,2009,2009-01-01,2009-12-31,C,19,19_2009
1,2010,2010-01-01,2010-12-31,C,1,1_2010
19,2010,2010-01-01,2010-12-31,C,19,19_2010
1,2011,2011-01-01,2011-12-31,C,1,1_2011
19,2011,2011-01-01,2011-12-31,C,19,19_2011
1,2012,2012-01-01,2012-12-31,C,1,1_2012
19,2012,2012-01-01,2012-12-31,C,19,19_2012
1,2013,2013-01-01,2013-12-31,C,1,1_2013
19,2013,2013-01-01,2013-12-31,C,19,19_2013
1,2014,2014-01-01,2014-12-31,C,1,1_2014
19,2014,2014-01-01,2014-12-31,C,19,19_2014
1,2015,2015-01-01,2015-12-31,C,1,1_2015
19,2015,2015-01-01,2015-12-31,C,19,19_2015
1,2002,2002-01-01,2002-12-31,C,1,1_2002
1,2016,2016-01-01,2016-12-31,C,1,1_2016
19,2016,2016-01-01,2016-12-31,C,19,19_2016
1,2017,2017-01-01,2017-12-31,C,1,1_2017
19,2017,2017-01-01,2017-12-31,C,19,19_2017
1,2019,2019-01-01,2019-12-31,C,1,1_2019
19,2019,2019-01-01,2019-12-31,C,19,19_2019
19,2018,2018-01-01,2018-12-31,C,19,19_2018
1,2018,2018-01-01,2018-12-31,C,1,1_2018
1,2020,2020-01-01,2020-12-31,C,1,1_2020
19,2020,2020-01-01,2020-12-31,C,19,19_2020
1,2021,2021-01-01,2021-12-31,C,1,1_2021
19,2021,2021-01-01,2021-12-31,C,19,19_2021
1,2024,2024-01-01,2024-12-31,A,1,1_2024
19,2024,2024-01-01,2024-12-31,A,19,19_2024
1,2022,2022-01-01,2022-12-31,C,1,1_2022
19,2022,2022-01-01,2022-12-31,C,19,19_2022
1,2023,2023-01-01,2023-12-31,C,1,1_2023
19,2023,2023-01-01,2023-12-31,C,19,19_2023
