empresa,ejercicio,fecinicio,fecfinal,estado,empresa_id,name
1,1995,01011995,12311995,C,1,1_1995
1,1996,01011996,12311996,C,1,1_1996
1,1997,01011997,12311997,C,1,1_1997
1,1998,01011998,12311998,C,1,1_1998
1,2005,01012005,12312005,C,1,1_2005
1,1999,01011999,12311999,C,1,1_1999
1,2000,01012000,12312000,C,1,1_2000
1,2001,01012001,12312001,C,1,1_2001
1,2003,01012003,12312003,C,1,1_2003
1,2004,01012004,12312004,C,1,1_2004
19,1995,01011995,12311995,C,19,19_1995
19,1996,01011996,12311996,C,19,19_1996
19,1997,01011997,12311997,C,19,19_1997
19,1998,01011998,12311998,C,19,19_1998
19,2005,01012005,12312005,C,19,19_2005
19,1999,01011999,12311999,C,19,19_1999
19,2000,01012000,12312000,C,19,19_2000
19,2001,01012001,12312001,C,19,19_2001
19,2002,01012002,12312002,C,19,19_2002
19,2003,01012003,12312003,C,19,19_2003
19,2004,01012004,12312004,C,19,19_2004
1,2006,01012006,12312006,C,1,1_2006
19,2006,01012006,12312006,C,19,19_2006
1,2007,01012007,12312007,C,1,1_2007
19,2007,01012007,12312007,C,19,19_2007
1,2008,01012008,12312008,C,1,1_2008
19,2008,01012008,12312008,C,19,19_2008
1,2009,01012009,12312009,C,1,1_2009
19,2009,01012009,12312009,C,19,19_2009
1,2010,01012010,12312010,C,1,1_2010
19,2010,01012010,12312010,C,19,19_2010
1,2011,01012011,12312011,C,1,1_2011
19,2011,01012011,12312011,C,19,19_2011
1,2012,01012012,12312012,C,1,1_2012
19,2012,01012012,12312012,C,19,19_2012
1,2013,01012013,12312013,C,1,1_2013
19,2013,01012013,12312013,C,19,19_2013
1,2014,01012014,12312014,C,1,1_2014
19,2014,01012014,12312014,C,19,19_2014
1,2015,01012015,12312015,C,1,1_2015
19,2015,01012015,12312015,C,19,19_2015
1,2002,01012002,12312002,C,1,1_2002
1,2016,01012016,12312016,C,1,1_2016
19,2016,01012016,12312016,C,19,19_2016
1,2017,01012017,12312017,C,1,1_2017
19,2017,01012017,12312017,C,19,19_2017
1,2019,01012019,12312019,C,1,1_2019
19,2019,01012019,12312019,C,19,19_2019
19,2018,01012018,12312018,C,19,19_2018
1,2018,01012018,12312018,C,1,1_2018
1,2020,01012020,12312020,C,1,1_2020
19,2020,01012020,12312020,C,19,19_2020
1,2022,01012022,12312022,A,1,1_2022
19,2022,01012022,12312022,A,19,19_2022
1,2021,01012021,12312021,C,1,1_2021
19,2021,01012021,12312021,C,19,19_2021
1,2023,01012023,12312023,A,1,1_2023
19,2023,01012023,12312023,A,19,19_2023
1,2024,01012024,12312024,A,1,1_2024
19,2024,01012024,12312024,A,19,19_2024
