empresa,codigo,clv_art,tipo,subcta,idioma,descripcion,empresa_id,codigo_id,name
1,12/PG00118,,0,,,COJINETE ENGRANAJE INTERM.MINIBOMBO,1,1_12/PG00118,1_12/PG00118_COJINETE ENGRANAJE INTERM.MINIBOMBO
1,01/09033,,0,,,ANODO COBRE/FOSFOROSO 10x50x75,1,1_01/09033,1_01/09033_ANODO COBRE/FOSFOROSO 10x50x75
1,02/08775,,0,,,"SERP.Ti D25,4 -L-750x1350x700 P6",1,1_02/08775,"1_02/08775_SERP.Ti D25,4 -L-750x1350x700 P6"
1,01/09045,,0,,,BAJ.SIMPLE(DE) L1340 4PISOSx5POS,1,1_01/09045,1_01/09045_BAJ.SIMPLE(DE) L1340 4PISOSx5POS
1,01/00352AR,,0,,,BASTIDOR Al 60PZS C-5 C-5 REPARADO,1,1_01/00352AR,1_01/00352AR_BASTIDOR Al 60PZS C-5 C-5 REPARADO
1,12/PP00026,,0,,,SOPORTE INTERMEDIO PP L135 P/PL.10,1,1_12/PP00026,1_12/PP00026_SOPORTE INTERMEDIO PP L135 P/PL.10
1,12/PP00027,,0,,,SOPORTE INTERMEDIO PP L190 P/PL.10,1,1_12/PP00027,1_12/PP00027_SOPORTE INTERMEDIO PP L190 P/PL.10
1,01/0905401,,0,,,INOX304 500x26x3 25REG.CORT/LASER,1,1_01/0905401,1_01/0905401_INOX304 500x26x3 25REG.CORT/LASER
1,.YTAM,,0,,,.NETEJA - TALLER,1,1_.YTAM,1_.YTAM_.NETEJA - TALLER
1,01/09053M3,,0,,,MZ INOX304 D5x2+D12x22+M5x14,1,1_01/09053M3,1_01/09053M3_MZ INOX304 D5x2+D12x22+M5x14
1,01/09056,,0,,,BASTIDOR L790 5PISOSx2PZS,1,1_01/09056,1_01/09056_BASTIDOR L790 5PISOSx2PZS
1,02/08829,,0,,,"SERP.Ti D25,4 1750x2600 P8",1,1_02/08829,"1_02/08829_SERP.Ti D25,4 1750x2600 P8"
1,55/05002MP,,0,,,"MT TITANIO GR2 REDONDO 50,00mm",1,1_55/05002MP,"1_55/05002MP_MT TITANIO GR2 REDONDO 50,00mm"
1,02/08813,,0,,,"PORTA-ANODO Ti 12,7x6,3 L140 M8x40",1,1_02/08813,"1_02/08813_PORTA-ANODO Ti 12,7x6,3 L140 M8x40"
1,01/09070,,0,,,"BAJANTE L1010 9TAL.D8,5(A 100)",1,1_01/09070,"1_01/09070_BAJANTE L1010 9TAL.D8,5(A 100)"
1,51/32510,,0,,,HIERRO N. PASAMANO 25x10,1,1_51/32510,1_51/32510_HIERRO N. PASAMANO 25x10
1,04/33255,,0,,,FUNDA PERFIL PE-0076 PLASTIS.NEGRO,1,1_04/33255,1_04/33255_FUNDA PERFIL PE-0076 PLASTIS.NEGRO
1,04/33257,,0,,,FUNDA PERFIL PE-13543 PLASTIS.NEGRO,1,1_04/33257,1_04/33257_FUNDA PERFIL PE-13543 PLASTIS.NEGRO
1,12/PP00030,,0,,,CUBA PP 5000x1300x1400 -ANODIZADO-,1,1_12/PP00030,1_12/PP00030_CUBA PP 5000x1300x1400 -ANODIZADO-
1,.PAP-V,,0,,,.MATERIAL D'OFICINA - VENDES,1,1_.PAP-V,1_.PAP-V_.MATERIAL D'OFICINA - VENDES
1,04/33254,,0,,,FUNDA PERFIL PE-13630 PLASTIS.NEGRO,1,1_04/33254,1_04/33254_FUNDA PERFIL PE-13630 PLASTIS.NEGRO
1,12/PP00030M,,0,,,CUBA PP 5000x1300x1400 -ANODIZADO-,1,1_12/PP00030M,1_12/PP00030M_CUBA PP 5000x1300x1400 -ANODIZADO-
1,10/10143M,,0,,,MZ TUERCA Ti DIN-934 M-14,1,1_10/10143M,1_10/10143M_MZ TUERCA Ti DIN-934 M-14
1,01/00375C,,0,,,BAST.985x474 4BAJx8PISx2PZS(64PZS),1,1_01/00375C,1_01/00375C_BAST.985x474 4BAJx8PISx2PZS(64PZS)
1,12/PG05201,,0,,,PLETINA CONEXION MOD.260 STANDARD,1,1_12/PG05201,1_12/PG05201_PLETINA CONEXION MOD.260 STANDARD
1,12/PG05202,,0,,,GRUPO CONTACTO Y SOPORTE STANDARD,1,1_12/PG05202,1_12/PG05202_GRUPO CONTACTO Y SOPORTE STANDARD
1,03/0037801,,0,,,"REST.INOX316 D9,8x3114 I250 1000W 230V 9370H",1,1_03/0037801,"1_03/0037801_REST.INOX316 D9,8x3114 I250 1000W 230V 9370H"
1,55/8160822,,0,,,M2.MALLA EXPANDIDA Ti 16x8x2x2,1,1_55/8160822,1_55/8160822_M2.MALLA EXPANDIDA Ti 16x8x2x2
1,.YTI,,0,,,.REPARACIONS - TITA,1,1_.YTI,1_.YTI_.REPARACIONS - TITA
1,02/08779,,0,,,BAST.Ti (DE) 7BAJx8PZS D54/56,1,1_02/08779,1_02/08779_BAST.Ti (DE) 7BAJx8PZS D54/56
1,02/08815M,,0,,,"CORT/LASER ARANDELA Ti D104xD87x1,5",1,1_02/08815M,"1_02/08815M_CORT/LASER ARANDELA Ti D104xD87x1,5"
1,57/00004,,0,,,COBRE REDONDO 4,1,1_57/00004,1_57/00004_COBRE REDONDO 4
