empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
,C00941005,,,,,,,,,1.000000,,1,STAND,0,0_C00941005,,0_C00941005_STAND
1,58/00240,,4.20710,,,,,,,,,1,STAND,1,1_58/00240,,1_58/00240_STAND
1,PR/0890/0001,,,,,,,,,,,1,STAND,1,1_PR/0890/0001,,1_PR/0890/0001_STAND
1,PR/0210/0004,,,,,,,,,,,1,STAND,1,1_PR/0210/0004,,1_PR/0210/0004_STAND
1,03/00348,,,,,,,745.98100,9,1.000000,,1,STAND,1,1_03/00348,9,1_03/00348_STAND
1,PR/0617/0110,,,,,,,,,,,1,STAND,1,1_PR/0617/0110,,1_PR/0617/0110_STAND
1,01/08558,,,,,,,,,,,1,STAND,1,1_01/08558,,1_01/08558_STAND
1,PR/1557/0006,,,,,,,,,,,1,STAND,1,1_PR/1557/0006,,1_PR/1557/0006_STAND
1,02/07315,,,,,,,0.00000,,0.000000,,1,STAND,1,1_02/07315,,1_02/07315_STAND
1,01/07491,,,,,,,,,,,1,STAND,1,1_01/07491,,1_01/07491_STAND
1,01/08700,,,,,,,,,,,1,STAND,1,1_01/08700,,1_01/08700_STAND
1,PR/0677/0029,,,,,,,,,,,1,STAND,1,1_PR/0677/0029,,1_PR/0677/0029_STAND
1,PR/1272/0012,,,,,,,,,,,1,STAND,1,1_PR/1272/0012,,1_PR/1272/0012_STAND
1,02/08388,,,,,,,,,,,1,STAND,1,1_02/08388,,1_02/08388_STAND
1,02/08078R,,,,,,,,,,,1,STAND,1,1_02/08078R,,1_02/08078R_STAND
1,PR/1712/0001,,,,,,,,,,,1,STAND,1,1_PR/1712/0001,,1_PR/1712/0001_STAND
1,01/08134,,,,,,,,,,,1,STAND,1,1_01/08134,,1_01/08134_STAND
1,01/08927,,,,,,,,,,,1,STAND,1,1_01/08927,,1_01/08927_STAND
1,12/511506,,,,,,,,,,,1,STAND,1,1_12/511506,,1_12/511506_STAND
1,03/00183,,,,,,,42.60500,9,1.000000,,1,STAND,1,1_03/00183,9,1_03/00183_STAND
1,55/00163AM,,,,,,,,,,,1,STAND,1,1_55/00163AM,,1_55/00163AM_STAND
1,01/09274,,,,,,,,,,,1,STAND,1,1_01/09274,,1_01/09274_STAND
1,UP.105-02,,,,,,,0.00000,,0.000000,,1,STAND,1,1_UP.105-02,,1_UP.105-02_STAND
1,PR/0301/0002-A,,,,,,,,,,,1,STAND,1,1_PR/0301/0002-A,,1_PR/0301/0002-A_STAND
1,PR/1564/0006,,,,,,,,,,,1,STAND,1,1_PR/1564/0006,,1_PR/1564/0006_STAND
1,03/00382,,,,,,,0.00000,,0.000000,,1,STAND,1,1_03/00382,,1_03/00382_STAND
1,PR/SERR/0001,,,,,,,,,,,1,STAND,1,1_PR/SERR/0001,,1_PR/SERR/0001_STAND
1,PR/AIMT/0001,,,,,,,,,,,1,STAND,1,1_PR/AIMT/0001,,1_PR/AIMT/0001_STAND
1,53/34520,,6.00000,,,,,,,,,1,STAND,1,1_53/34520,,1_53/34520_STAND
