empresa,ejercicio,almacen,fecha_sf,fecha_ef,documento_sf,documento_ef,lote,subcta_c,subcta_s,pedido,linea_pedido,articulo,cantidad_sf,cantidad_ef,observaciones,n_traspaso,estado,of_original,empresa_id,almacen_id,ejercicio_id,name
1,2023,1,2023-01-13,2023-01-18,3158,3158,,4301757,,23000025,,01/10316,40.000,40.000,,,1,,1,1_1,1_2023,1_2023_1_3158
1,2023,1,2023-05-24,2023-05-26,3541,3541,,4300012,,23000317,,03/10000,3.000,3.000,,,1,,1,1_1,1_2023,1_2023_1_3541
1,2023,1,2023-01-19,2023-01-20,3184,3184,,4301865,,23000042,,55/10095MPA,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3184
1,2023,1,2023-01-01,2023-01-26,2866,2866,,4300718,,22000515,,01/071800002,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_2866
1,2023,1,2023-01-19,2023-01-20,3178,3178,,4300545,,23000038,,03/6221065,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3178
1,2023,1,2023-01-10,2023-01-20,3134,3134,,4301682,,23000015,,02/10850,20.000,20.000,,,1,,1,1_1,1_2023,1_2023_1_3134
1,2023,1,2023-01-01,,3000,,A,4309999,,0,,.03,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_3000
1,2023,1,2023-01-01,,4000,,A,4309999,,0,,.04,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_4000
1,2023,1,2023-01-01,,7000,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7000
1,2023,1,2023-01-01,,7001,,,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7001
1,2023,1,2023-01-01,,7002,,,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7002
1,2023,1,2023-01-01,,7100,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7100
1,2023,1,2023-01-01,,7110,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7110
1,2023,1,2023-01-01,,7111,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7111
1,2023,1,2023-01-01,,7112,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7112
1,2023,1,2023-01-01,,7120,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7120
1,2023,1,2023-01-01,,7130,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7130
1,2023,1,2023-01-01,,7160,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7160
1,2023,1,2023-01-01,,7161,,A,4309999,,0,,.91,1.000,0.000,,,0,,1,1_1,1_2023,1_2023_1_7161
