empresa,ejercicio,documento,tipo_doc,almacen,orden,descripcion,clv_man,facturado,empresa_id,almacen_id,documento_id,name
1,2010,10007088,PC,1,1,ENTREGAMOS 1 CHAPA DE Ti GR4 2x280x1000mm,,0,1,1_1,1_1_PC_10007088,1_1_PC_10007088_1_1
1,2010,10007193,PC,1,1,EMBALAJE 1 PALET DE 2500x1000x200mm,,0,1,1_1,1_1_PC_10007193,1_1_PC_10007193_1_1
1,2010,10007386,PC,1,1,"AVISEN CUANDO ESTE PREPARADO, PARA COORDINAR EL TRANSPORTE.",,0,1,1_1,1_1_PC_10007386,1_1_PC_10007386_1_1
1,2010,10007386,PC,1,2,GRACIAS. DANIEL SONEIRA,,0,1,1_1,1_1_PC_10007386,1_1_PC_10007386_2_1
1,2011,9006938,PC,1,1,proves impressio format comandes F3 observacions.,,0,1,1_1,1_1_PC_9006938,1_1_PC_9006938_1_1
1,2011,11007649,PC,1,1,FORMA DE PAGO:,,0,1,1_1,1_1_PC_11007649,1_1_PC_11007649_1_1
1,2011,11007649,PC,1,2,30% A LA ENTREGA,,0,1,1_1,1_1_PC_11007649,1_1_PC_11007649_2_1
1,2011,11007649,PC,1,3,30% A 30 DIAS F.F. DIA 25,,0,1,1_1,1_1_PC_11007649,1_1_PC_11007649_3_1
1,2011,11007649,PC,1,4,40% A 60 DIAS F.F. DIA 25,,0,1,1_1,1_1_PC_11007649,1_1_PC_11007649_4_1
1,2011,11007769,PC,1,1,ESTO ES UNA PRUEBA,,0,1,1_1,1_1_PC_11007769,1_1_PC_11007769_1_1
1,2011,11007787,PC,1,1,"ENTREGAMOS 78,25MT TITANIO C/6,35",,0,1,1_1,1_1_PC_11007787,1_1_PC_11007787_1_1
1,2014,14000011,PC,1,1,IBAN: ES83 0081 0076 3100 0313 0016,,0,1,1_1,1_1_PC_14000011,1_1_PC_14000011_1_1
1,2018,18000456,PC,1,1,ENTREGAMOS UNA CHAPA TITANIO DE 1x595x400mm,,0,1,1_1,1_1_PC_18000456,1_1_PC_18000456_1_1
