empresa,ejercicio,tipo_movimiento,pedido,linea_pedido,clv_ped,fecha_servicio,articulo,acumula,cantidad,bultos,cantidad_s,bultos_s,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,subcta,linea_producto,clv_sub,fecha_documento,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,pedido_id,name
1,2023,PV,23000139,2,,2023-03-10,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300012,1,,2023-03-01,,,,,2,,,,,,1,9,1_1,1_1_PV_23000139,1_1_PV_23000139_2
1,2023,PC,23000088,1,,,.PANT,1,10.000,0.000,10.000,0.000,19.32000,19.32000,1,25.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,19.32000,0.00000,0,0.00000,0.00000,,9,1.000000,,1,4000508,1,,2023-02-27,,,,,1,,,,,,1,9,1_1,1_1_PC_23000088,1_1_PC_23000088_1
1,2023,PV,23000140,2,,2023-03-09,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300012,1,,2023-03-01,,,,,2,,,,,,1,9,1_1,1_1_PV_23000140,1_1_PV_23000140_2
1,2023,PC,23000071,2,,2023-02-28,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000401,1,,2023-02-14,,,,,2,,,,,,1,9,1_1,1_1_PC_23000071,1_1_PC_23000071_2
1,2023,PV,23000100,2,,2023-03-10,..12/70233,1,1.000,1.000,1.000,1.000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300013,1,,2023-02-13,,,,,3,,,,,,1,9,1_1,1_1_PV_23000100,1_1_PV_23000100_2
1,2023,PC,23000091,2,,2023-03-06,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000719,1,,2023-03-01,,,,,2,,,,,,1,9,1_1,1_1_PC_23000091,1_1_PC_23000091_2
1,2023,PV,23000020,2,,2023-01-30,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301630,1,,2023-01-11,,,,,2,,,,,,1,9,1_1,1_1_PV_23000020,1_1_PV_23000020_2
1,2023,PC,23000015,2,,2023-01-17,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000751,1,,2023-01-10,,,,,2,,,,,,1,9,1_1,1_1_PC_23000015,1_1_PC_23000015_2
1,2023,PV,23000083,2,,2023-02-23,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301507,1,,2023-02-06,,,,,2,,,,,,1,9,1_1,1_1_PV_23000083,1_1_PV_23000083_2
1,2023,PV,23000034,1,,2023-02-08,01/10303,1,1.000,0.000,1.000,0.000,2375.00000,2375.00000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,,,0,0.00000,0.00000,,9,1.000000,,1,4300013,1,,2023-01-18,,,,,1,,,,,,1,9,1_1,1_1_PV_23000034,1_1_PV_23000034_1
