empresa,ejercicio,almacen,documento,tipo_movimiento,linea_documento,linea_medida,bultos,cantidad,largo,ancho,grueso,procede,empresa_id,almacen_id,documento_id,linea_documento_id,name
1,2023,1,3069,SF,3,1,1.000,0.005,15.000,0.000,0.000,2,1,1_1,1_1_SF_3069,1_1_SF_3069_3,1_1_SF_3069_3
1,2023,1,3065,SF,1,1,1.000,0.127,340.000,55.000,0.000,2,1,1_1,1_1_SF_3065,1_1_SF_3065_1,1_1_SF_3065_1
1,2023,1,2282,SF,6,1,1.000,0.237,325.000,0.000,0.000,2,1,1_1,1_1_SF_2282,1_1_SF_2282_6,1_1_SF_2282_6
1,2023,1,2282,SF,7,1,1.000,0.118,325.000,0.000,0.000,2,1,1_1,1_1_SF_2282,1_1_SF_2282_7,1_1_SF_2282_7
1,2023,1,2282,SF,8,1,1.000,0.249,346.000,0.000,0.000,2,1,1_1,1_1_SF_2282,1_1_SF_2282_8,1_1_SF_2282_8
1,2023,1,3066,SF,1,1,1.000,0.127,340.000,55.000,0.000,2,1,1_1,1_1_SF_3066,1_1_SF_3066_1,1_1_SF_3066_1
1,2023,1,3102,SF,2,1,1.000,0.720,720.000,0.000,0.000,2,1,1_1,1_1_SF_3102,1_1_SF_3102_2,1_1_SF_3102_2
1,2023,1,3184,SF,1,1,1.000,0.390,950.000,0.000,0.000,2,1,1_1,1_1_SF_3184,1_1_SF_3184_1,1_1_SF_3184_1
1,2023,1,3178,SF,2,1,1.000,2.500,2500.000,0.000,0.000,2,1,1_1,1_1_SF_3178,1_1_SF_3178_2,1_1_SF_3178_2
1,2023,1,3037,SF,1,1,1.000,0.004,120.000,10.445,0.000,2,1,1_1,1_1_SF_3037,1_1_SF_3037_1,1_1_SF_3037_1
1,2023,1,3034,SF,1,1,1.038,0.123,795.000,22.000,0.000,2,1,1_1,1_1_SF_3034,1_1_SF_3034_1,1_1_SF_3034_1
1,2023,1,3035,SF,1,1,1.063,0.137,795.000,24.000,0.000,2,1,1_1,1_1_SF_3035,1_1_SF_3035_1,1_1_SF_3035_1
1,2023,1,3036,SF,1,1,1.063,0.137,795.000,24.000,0.000,2,1,1_1,1_1_SF_3036,1_1_SF_3036_1,1_1_SF_3036_1
1,2023,1,3133,SF,2,1,1.000,6.000,6000.000,0.000,0.000,2,1,1_1,1_1_SF_3133,1_1_SF_3133_2,1_1_SF_3133_2
1,2023,1,3133,SF,3,1,1.000,1.500,1500.000,0.000,0.000,2,1,1_1,1_1_SF_3133,1_1_SF_3133_3,1_1_SF_3133_3
1,2023,1,3133,SF,7,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3133,1_1_SF_3133_7,1_1_SF_3133_7
1,2023,1,3133,SF,8,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3133,1_1_SF_3133_8,1_1_SF_3133_8
1,2023,1,3134,SF,1,1,2.000,0.311,115.000,100.000,0.000,2,1,1_1,1_1_SF_3134,1_1_SF_3134_1,1_1_SF_3134_1
1,2023,1,3119,SF,1,1,1.000,0.226,310.000,0.000,0.000,2,1,1_1,1_1_SF_3119,1_1_SF_3119_1,1_1_SF_3119_1
1,2023,1,3119,SF,2,1,166.000,0.013,55.000,2.000,0.000,2,1,1_1,1_1_SF_3119,1_1_SF_3119_2,1_1_SF_3119_2
1,2023,1,3111,SF,1,1,0.899,0.017,18.550,0.000,0.000,2,1,1_1,1_1_SF_3111,1_1_SF_3111_1,1_1_SF_3111_1
1,2023,1,3134,SF,3,1,1.000,0.018,90.000,15.000,0.000,2,1,1_1,1_1_SF_3134,1_1_SF_3134_3,1_1_SF_3134_3
1,2023,1,3120,SF,1,1,25.000,0.615,60.000,0.000,0.000,2,1,1_1,1_1_SF_3120,1_1_SF_3120_1,1_1_SF_3120_1
1,2023,1,3134,SF,4,1,1.000,0.226,50.000,0.000,0.000,2,1,1_1,1_1_SF_3134,1_1_SF_3134_4,1_1_SF_3134_4
1,2023,1,3270,SF,2,1,2.000,0.393,250.000,0.000,0.000,2,1,1_1,1_1_SF_3270,1_1_SF_3270_2,1_1_SF_3270_2
1,2023,1,3152,SF,1,1,1.001,0.033,33.000,0.000,0.000,2,1,1_1,1_1_SF_3152,1_1_SF_3152_1,1_1_SF_3152_1
1,2023,1,3071,SF,1,1,1.000,0.368,225.000,0.000,0.000,2,1,1_1,1_1_SF_3071,1_1_SF_3071_1,1_1_SF_3071_1
