empresa,subcta,linea_producto,clv_sub,tarifa,portes,agencia_transporte,tipo_iva,tipo_iva_alt,albaran_valorado,albaran_factura,pedido_albaran,intervalo_factura,copias_albaran,copias_factura,descuento_p_pago,descripcion_dto_2,descuento_2,descripcion_dto_3,descuento_3,cl_circ_oferta,cargo_financiero,cargo_fin_dias,descripcion_car_2,cargo_2,irpf,aplic_irpf,vendedor_1,vendedor_2,vendedor_3,facturar_envase,empresa_id,subcta_id,name
1,4301122,1,,4,0,99,1,1,1,0,1,3,3,4,,,,,,,,,,,0.00,0,,,,N,1,1_4301122,1_4301122
1,4301432,1,,1,0,8,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301432,1_4301432
1,4301272,1,,7,0,99,1,1,1,0,1,1,3,2,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301272,1_4301272
1,4301434,1,,,0,99,1,1,0,0,1,4,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301434,1_4301434
1,4000762,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000762,1_4000762
1,4000560,1,,,1,99,5,3,1,1,1,1,1,1,0.00,,,,,,,,,,0.00,1,,,,N,1,1_4000560,1_4000560
19,4301206,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301206,19_4301206
1,4000483,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000483,1_4000483
1,4301642,1,,7,0,99,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,,1,1_4301642,1_4301642
19,4301436,1,,,0,98,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301436,19_4301436
1,4301603,1,,4,0,99,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,0,,,,,1,1_4301603,1_4301603
1,4301435,1,,,0,99,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301435,1_4301435
1,4301849,1,,6,0,99,1,3,1,0,1,1,3,2,,,,,,,,,,,0.00,1,,,,N,1,1_4301849,1_4301849
1,4301749,1,,4,0,99,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301749,1_4301749
1,4301440,1,,,0,99,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301440,1_4301440
1,4000562,1,,,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000562,1_4000562
1,4000701,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000701,1_4000701
1,4000689,1,,1,0,,1,3,0,0,0,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000689,1_4000689
1,4301443,1,,,0,99,1,1,1,0,1,4,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301443,1_4301443
1,4000269,1,,,0,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000269,1_4000269
1,4301366,1,,7,1,99,1,1,0,0,1,2,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301366,1_4301366
1,4301566,1,,1,0,8,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,0,4100001,,,N,1,1_4301566,1_4301566
1,4301539,1,,,0,8,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,0,4100001,,,N,1,1_4301539,1_4301539
19,4302257,1,,,,,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4302257,19_4302257
1,4300893,1,,,0,,1,1,1,0,1,4,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300893,1_4300893
1,4000183,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000183,1_4000183
1,4310016,1,,,,,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4310016,1_4310016
1,4301698,1,,7,0,98,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,,1,1_4301698,1_4301698
1,4301127,1,,4,0,53,1,1,1,0,1,2,3,4,,,,,,,,,,,0.00,0,,,,N,1,1_4301127,1_4301127
1,4000720,1,,1,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000720,1_4000720
1,4000566,1,,,1,99,1,1,1,1,0,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000566,1_4000566
19,4301161,1,,1,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301161,19_4301161
1,4000564,1,,,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000564,1_4000564
19,4301445,1,,,0,16,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301445,19_4301445
1,4000255,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000255,1_4000255
19,4301241,1,,,0,99,1,1,1,0,1,1,3,4,1.50,,,,,,,,,,0.00,1,,,,N,19,19_4301241,19_4301241
1,4000565,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000565,1_4000565
1,4000758,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000758,1_4000758
1,4300737,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300737,1_4300737
1,4301048,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301048,1_4301048
1,4301809,1,,7,0,99,1,3,1,0,1,1,3,2,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301809,1_4301809
19,4300466,1,,,0,98,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4300466,19_4300466
1,4301448,1,,,0,8,1,1,1,1,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301448,1_4301448
1,4301139,1,,,0,101,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301139,1_4301139
1,4000394,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000394,1_4000394
1,4000415,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000415,1_4000415
1,4300631,1,,,0,16,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300631,1_4300631
1,4000021,1,,,0,16,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000021,1_4000021
1,4000439,1,,,0,70,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000439,1_4000439
1,4000312,1,,,0,98,1,3,1,1,1,1,1,1,2.00,,,,,,,,,,0.00,0,,,,N,1,1_4000312,1_4000312
1,4000423,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000423,1_4000423
1,4301145,1,,,0,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301145,1_4301145
1,4000389,1,,,0,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000389,1_4000389
1,4000416,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000416,1_4000416
1,4300750,1,,,1,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300750,1_4300750
19,4300655,1,,,0,98,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4300655,19_4300655
19,4301415,1,,,0,99,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301415,19_4301415
1,4301116,1,,,0,,1,1,1,0,1,1,3,4,3.00,,,,,,,,,,0.00,1,,,,N,1,1_4301116,1_4301116
19,4301449,1,,,0,99,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301449,19_4301449
19,4301240,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301240,19_4301240
1,4301068,1,,,0,8,5,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301068,1_4301068
1,4301217,1,,7,0,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301217,1_4301217
19,4301447,1,,,0,16,1,1,1,1,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301447,19_4301447
19,4301451,1,,4,0,99,1,1,1,1,0,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301451,19_4301451
19,4300903,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4300903,19_4300903
1,4000568,1,,,0,98,1,3,0,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000568,1_4000568
19,4301303,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4301303,19_4301303
1,4301055,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,1.60,0.00,1,4100001,,,N,1,1_4301055,1_4301055
1,4000428,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000428,1_4000428
1,4000567,1,,,0,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000567,1_4000567
1,4300029,1,,,1,1,1,1,1,0,1,1,3,4,3.00,,,,,,,,,,0.00,1,,,,N,1,1_4300029,1_4300029
1,4301492,1,,,0,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301492,1_4301492
1,4300932,1,,,0,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300932,1_4300932
1,4000383,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000383,1_4000383
1,4300381,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300381,1_4300381
1,4300769,1,,,0,70,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300769,1_4300769
1,4300071,1,,8,0,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300071,1_4300071
1,4300044,1,,,0,1,1,3,1,0,1,1,3,4,,,,,,,1.60,,,,0.00,1,4100001,,,N,1,1_4300044,1_4300044
1,4000162,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000162,1_4000162
1,4301793,1,,4,0,99,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301793,1_4301793
1,4000531,1,,,0,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000531,1_4000531
1,4301714,1,,6,0,99,5,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,,1,1_4301714,1_4301714
1,4300437,1,,,,1,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300437,1_4300437
1,4000048,1,,,1,99,1,3,1,1,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000048,1_4000048
1,4100010,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,19.00,1,,,,,1,1_4100010,1_4100010
1,4301109,1,,4,1,99,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301109,1_4301109
1,4000705,1,,1,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000705,1_4000705
1,4300473,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300473,1_4300473
1,4301053,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301053,1_4301053
1,4000373,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000373,1_4000373
1,4300847,1,,6,1,70,1,3,0,0,1,4,3,2,,,,,,,,,,,0.00,1,,,,N,1,1_4300847,1_4300847
1,4300571,1,,,0,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300571,1_4300571
1,4300346,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300346,1_4300346
1,4000694,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000694,1_4000694
1,4301788,1,,7,0,99,1,3,0,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301788,1_4301788
1,4301086,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,1.60,0.00,1,4100001,,,N,1,1_4301086,1_4301086
1,4000709,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000709,1_4000709
1,4300099,1,,,0,1,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300099,1_4300099
1,4300985,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300985,1_4300985
1,4300204,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300204,1_4300204
1,4301323,1,,,0,,1,1,1,0,1,1,3,2,,,,,,,,,,,0.00,1,,,,N,1,1_4301323,1_4301323
1,4301279,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301279,1_4301279
1,4000702,1,,1,0,99,5,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4000702,1_4000702
1,4300999,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300999,1_4300999
1,4300107,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300107,1_4300107
1,4300694,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300694,1_4300694
19,4301398,1,,,0,99,1,1,1,1,1,1,3,1,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301398,19_4301398
1,4300653,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,3.00,0.00,1,,,,N,1,1_4300653,1_4300653
1,4000436,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000436,1_4000436
1,4301165,1,,,1,1,1,1,1,0,1,1,3,4,3.00,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301165,1_4301165
1,4300820,1,,7,0,99,1,1,1,0,1,1,3,2,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300820,1_4300820
1,4301406,1,,,0,99,1,1,1,1,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301406,1_4301406
1,4301123,1,,,,,3,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301123,1_4301123
1,4000551,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,N,1,1_4000551,1_4000551
1,4301063,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301063,1_4301063
1,4100994,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4100994,1_4100994
1,4000192,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000192,1_4000192
1,4101005,1,,1,0,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,1,,,,,1,1_4101005,1_4101005
1,4300576,1,,13,1,1,1,1,1,0,1,1,3,2,,,,,,,,,,,0.00,1,,,,N,1,1_4300576,1_4300576
19,4301272,1,,,,,1,1,1,0,1,1,3,1,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301272,19_4301272
19,4302037,1,,,0,27,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,19,19_4302037,19_4302037
1,4301493,1,,,0,99,1,1,0,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301493,1_4301493
19,4301062,1,,1,1,1,1,3,1,0,1,1,3,1,,,,,,,,,,,0.00,1,,,,N,19,19_4301062,19_4301062
19,4301129,1,,,,,1,1,1,0,1,1,3,1,0.00,,,,,,,,,,0.00,1,,,,N,19,19_4301129,19_4301129
1,4301023,1,,,0,,1,1,1,0,1,1,3,4,,,,,,,,,,3.00,0.00,1,,,,N,1,1_4301023,1_4301023
1,4300329,1,,,,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300329,1_4300329
1,4301124,1,,1,0,16,1,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301124,1_4301124
1,4301169,1,,,,,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301169,1_4301169
1,4301687,1,,7,1,70,5,3,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,,1,1_4301687,1_4301687
1,4300665,1,,4,,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4300665,1_4300665
1,4000038,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000038,1_4000038
1,4300553,1,,,0,22,1,1,1,0,1,1,3,4,3.00,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300553,1_4300553
1,4300392,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300392,1_4300392
19,4301270,1,,,,,1,1,1,0,1,1,3,1,,,,,,,,,,,0.00,1,4100001,,,N,19,19_4301270,19_4301270
1,4300987,1,,,0,37,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4300987,1_4300987
1,4000449,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000449,1_4000449
1,4301088,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301088,1_4301088
1,4000475,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000475,1_4000475
1,4300993,1,,,1,1,1,1,1,0,1,1,3,4,,,,,,,,,,3.00,0.00,1,4100001,,,N,1,1_4300993,1_4300993
1,4000022,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000022,1_4000022
