empresa,subcta,tipo_obs,numero_obs,observacion,usuarientrada,dataalta,empresa_id,subcta_id,name
1,4300752,10,1,UNA FACTURA A FINAL DE MES - DEBEN RECIBIR ANTES DIA 10,,2014-09-03,1,1_4300752,1_4300752_10_1
1,4000373,2,2,"                          8  KGx 9,07euros=79.66euros(50Kg)",,2014-09-03,1,1_4000373,1_4000373_2_2
1,4301103,99,1,**MOROSO**TIENEN DEUDA**,,2014-09-03,1,1_4301103,1_4301103_99_1
1,4301072,99,1,INDICAR EN FACTURAS Y ALBARANES No. PEDIDO Y SECCION.,,2014-09-03,1,1_4301072,1_4301072_99_1
1,4301190,99,1,FACTURACION QUINCENAL,,2014-09-03,1,1_4301190,1_4301190_99_1
1,4301526,90,1,MANDAR FRA EN FORMATO PDF  MAX. 1 SEMANA DESPUES ENTREGA,,2014-09-03,1,1_4301526,1_4301526_90_1
1,4000473,2,1,01/03/2002 TEL. SR. ALFONSO PACHECO,,2014-09-03,1,1_4000473,1_4000473_2_1
1,4300059,1,1,HORARIO DE 8H-13H /15H-18H,,2014-09-03,1,1_4300059,1_4300059_1_1
1,4300059,91,1,***CERRADO- VSTA.JSF 06/03/2003***,,2014-09-03,1,1_4300059,1_4300059_91_1
1,4300100,90,2,TIENEN DEUDA PENDIENTE.***MOROSOS***,,2014-09-03,1,1_4300100,1_4300100_90_2
1,4301166,91,1,**2002-CARTA DEVUELTA-DESCONOCIDO**,,2014-09-03,1,1_4301166,1_4301166_91_1
1,4301302,90,1,**MOROSO**TIENEN DEUDA**,,2014-09-03,1,1_4301302,1_4301302_90_1
1,4300665,2,1,"HORARIO 7H - 13,30H Y 15H -18H",,2014-09-03,1,1_4300665,1_4300665_2_1
1,4301208,2,1,**OTRA EMPRESA DE R.E.C.O.**,,2014-09-03,1,1_4301208,1_4301208_2_1
1,4300002,10,2,QUEDARIA A 21PTAS-ACTUALMENTE LOS IMPORTAN DE ALLPLAS (D),,2014-09-03,1,1_4300002,1_4300002_10_2
1,4301152,10,3,CUMES (4301462),,2014-09-03,1,1_4301152,1_4301152_10_3
1,4300932,10,1,FACTURA POR PEDIDO,,2014-09-03,1,1_4300932,1_4300932_10_1
1,4000682,11,1,HORARIO ALMACEN 10:30-14:00 y DE 15:00-17:00,inagasa2,2014-11-18,1,1_4000682,1_4000682_11_1
1,4300890,91,1,ALBARANES VALORADOS,,2014-09-03,1,1_4300890,1_4300890_91_1
1,4301026,15,1,EXTENGUIDA EN 2013,inagasa2,2024-04-25,1,1_4301026,1_4301026_15_1
1,4301103,99,2,"PENDIENTE 4.542,38.-EUROS",,2014-09-03,1,1_4301103,1_4301103_99_2
1,4000373,2,3,"DOSIFICADOR 46,46euros (regalo comprando 2 cartuchos)",,2014-09-03,1,1_4000373,1_4000373_2_3
1,4301359,99,1,"PENDIENTE 253,92.-EUROS",,2014-09-03,1,1_4301359,1_4301359_99_1
1,4000373,2,4,"DOSIFICADOR 22,18euros para la pasta blanca que utilizamos",,2014-09-03,1,1_4000373,1_4000373_2_4
1,4301493,11,1,"HORARIO DE 8H-13H, 14,5H-17,5H",,2014-09-03,1,1_4301493,1_4301493_11_1
1,4301015,90,1,**DSS OJO ¡¡¡¡¡ PROXIMA VENTA CONTADO 50% PEDIDO 50% ENTREGA,,2014-09-03,1,1_4301015,1_4301015_90_1
1,4301498,90,2,"DEBEN FRA.40743 VTO.30/03/2005 1.408,82.-EUR",,2014-09-03,1,1_4301498,1_4301498_90_2
1,4301259,91,2,**ANTES ERAN CROMADOS BARCELONA,,2014-09-03,1,1_4301259,1_4301259_91_2
1,4000479,90,1,MEDIDA MAXIMA 3000x1500x10,,2014-09-03,1,1_4000479,1_4000479_90_1
1,4301135,2,1,"TRABAJAN PARA CASA- DEDICACION AERONAUTICA, ASCENSORES ETC",,2014-09-03,1,1_4301135,1_4301135_2_1
1,4301135,2,2,NO TIENEN BAÑOS.,,2014-09-03,1,1_4301135,1_4301135_2_2
1,4301021,91,1,**OJO MOROSO**,,2014-09-03,1,1_4301021,1_4301021_91_1
1,4301035,91,1,**2002-CARTA DEVUELTA SE AUSENTARON**,,2014-09-03,1,1_4301035,1_4301035_91_1
1,4301035,91,2,UNICA COMPRA AÑO 1992 UN TROZO DE TITANIO,,2014-09-03,1,1_4301035,1_4301035_91_2
1,4301137,1,1,HORARIO DE 8H - 17H,,2014-09-03,1,1_4301137,1_4301137_1_1
1,4300381,91,1,**1999 CARTA DEVUELTA- MARCHO**,,2014-09-03,1,1_4300381,1_4300381_91_1
1,4301011,91,1,**2002 CARTA DEVUELTA-MARCHO**,,2014-09-03,1,1_4301011,1_4301011_91_1
1,4301118,91,1,*** CERRO ***,,2014-09-03,1,1_4301118,1_4301118_91_1
1,4300106,2,1,30/05/2001 EMPRESA ADQUIRADA TOTALMENTE POR EL GRUPO,,2014-09-03,1,1_4300106,1_4300106_2_1
1,4300100,90,1,**HAN HECHO VARIAS VECES SUSPENSION DE PAGOS,,2014-09-03,1,1_4300100,1_4300100_90_1
1,4300795,91,1,**2002-CARTA DEVUELTA-MARCHO**,,2014-09-03,1,1_4300795,1_4300795_91_1
1,4000021,1,1,"COBRAN FINANCIACION DE 3,6% A 90 DIAS",,2014-09-03,1,1_4000021,1_4000021_1_1
1,4300715,91,1,**2002 CARTA DEVUELTA- MARCHO**,,2014-09-03,1,1_4300715,1_4300715_91_1
1,4301185,99,2,DE PAGO AMB LA MONTSERRAT.,,2014-09-03,1,1_4301185,1_4301185_99_2
1,4300722,1,1,JUBILADO,,2014-09-03,1,1_4300722,1_4300722_1_1
1,4301373,91,1,**LOS DOS BASTIDORES PROTOTIPOS NO LO PAGO**,,2014-09-03,1,1_4301373,1_4301373_91_1
1,4301250,2,1,EMPLEADOS DE (COEL).,,2014-09-03,1,1_4301250,1_4301250_2_1
1,4300087,10,1,ADELANTAR FRA. POR FAX.,,2014-09-03,1,1_4300087,1_4300087_10_1
1,4301250,91,1,**CERRO** JUNIO/2002,,2014-09-03,1,1_4301250,1_4301250_91_1
1,4300022,90,1,***CERRARON---CONTINUA LA FIRMA FOLDIER***,,2014-09-03,1,1_4300022,1_4300022_90_1
1,4300974,10,1,JSF HAN CERRADO BAÑOS,,2014-09-03,1,1_4300974,1_4300974_10_1
1,4301066,91,1,**1999-CARTA DEVUELTA-MARCHO-**,,2014-09-03,1,1_4301066,1_4301066_91_1
