empresa,subcta,linea_producto,clv_sub,subcta_contable,subcta_facturacion,zona_comercial,categoria,categoria_rappel,categoria_oferta,ficha_cerrada,fecha_alta,fecha_baja,subcta_contra,empresa_id,subcta_contable_id,subcta_facturacion_id,name
1,4300762,1,,4300762,4300762,48,0,,,1,1995-11-20,2000-01-01,,1,1_4300762,1_4300762,1_4300762
1,4301424,1,,4301424,4301424,77,0,,,1,2002-03-22,2003-01-01,,1,1_4301424,1_4301424,1_4301424
1,4000492,1,,4000492,4000492,77,,,,1,1999-07-02,2002-10-22,,1,1_4000492,1_4000492,1_4000492
1,4300900,1,,4300900,4300900,9,0,,,1,1995-11-20,2003-05-09,,1,1_4300900,1_4300900,1_4300900
1,4301099,1,,4301099,4301099,50,0,,,1,1995-11-21,2002-12-18,,1,1_4301099,1_4301099,1_4301099
1,4301281,1,,4301281,4301281,13,0,,,1,1999-04-29,2011-02-21,,1,1_4301281,1_4301281,1_4301281
1,4301035,1,,4301035,4301035,28,0,,,1,1996-11-26,2003-03-06,,1,1_4301035,1_4301035,1_4301035
1,4301031,1,,4301031,4301031,3,NO VISITA,,,1,1995-11-21,2011-04-14,,1,1_4301031,1_4301031,1_4301031
1,4301250,1,,4301250,4301250,48,0,,,1,1998-07-08,2002-09-02,,1,1_4301250,1_4301250,1_4301250
1,4300339,1,,4300339,4300339,10,0,,,1,1996-02-27,2003-04-01,,1,1_4300339,1_4300339,1_4300339
1,4300028,1,,4300028,4300028,8,0,,,1,1997-03-17,2011-02-28,,1,1_4300028,1_4300028,1_4300028
1,4300988,1,,4300988,4300988,13,0,,,1,1995-11-20,2011-04-14,,1,1_4300988,1_4300988,1_4300988
1,4300839,1,,4300839,4300839,77,0,,,1,1995-11-20,2004-12-23,,1,1_4300839,1_4300839,1_4300839
1,4300001,1,,4300001,4300001,8,0,,,1,1995-11-10,2010-02-17,,1,1_4300001,1_4300001,1_4300001
1,4000357,1,,4000357,4000357,77,,,,1,1996-05-29,2011-02-01,,1,1_4000357,1_4000357,1_4000357
1,4301279,1,,4301279,4301279,50,0,,,1,1999-04-19,2005-05-01,,1,1_4301279,1_4301279,1_4301279
1,4300212,1,,4300212,4300212,10,0,,,1,1995-11-14,2009-04-14,,1,1_4300212,1_4300212,1_4300212
1,4301119,1,,4301119,4301119,3,0,,,1,1996-02-15,2004-09-01,,1,1_4301119,1_4301119,1_4301119
1,4301287,1,,4301287,4301287,10,0,,,1,1999-06-16,2009-12-30,,1,1_4301287,1_4301287,1_4301287
1,4300715,1,,4300715,4300715,4,0,,,1,1995-11-20,1999-01-01,,1,1_4300715,1_4300715,1_4300715
1,4301151,1,,4301151,4301151,16,0,,,1,1996-11-27,2011-04-18,,1,1_4301151,1_4301151,1_4301151
1,4301072,1,,4301072,4301072,41,0,,,1,1996-11-27,2011-04-15,,1,1_4301072,1_4301072,1_4301072
1,4300749,1,,4300749,4300749,10,0,,,1,1996-11-25,2004-09-01,,1,1_4300749,1_4300749,1_4300749
1,4301434,1,,4301434,4301434,80,0,,,1,2002-11-06,2004-12-01,,1,1_4301434,1_4301434,1_4301434
1,4301033,1,,4301033,4301033,13,0,,,1,1996-11-26,2011-04-14,,1,1_4301033,1_4301033,1_4301033
1,4300084,1,,4300084,4300084,77,0,,,1,1995-11-13,2001-08-09,,1,1_4300084,1_4300084,1_4300084
1,4301044,1,,4301044,4301044,10,0,,,1,1995-11-21,1996-01-01,,1,1_4301044,1_4301044,1_4301044
1,4301450,1,,4301450,4301450,81,0,,,1,2003-03-03,2011-02-21,,1,1_4301450,1_4301450,1_4301450
1,4000758,1,,4000758,4000758,,,,,0,2019-09-18,,,1,1_4000758,1_4000758,1_4000758
1,4310054,1,,4310054,4310054,5,S,,,1,2005-02-14,2008-03-01,,1,1_4310054,1_4310054,1_4310054
1,4301224,1,,4301224,4301224,7,A,,,1,1997-12-18,2011-02-21,,1,1_4301224,1_4301224,1_4301224
1,4301159,1,,4301159,4301159,1,0,,,1,1997-01-14,2003-02-27,,1,1_4301159,1_4301159,1_4301159
1,4300860,1,,4300860,4300860,28,0,,,1,1996-11-25,2011-04-04,,1,1_4300860,1_4300860,1_4300860
1,4300867,1,,4300867,4300867,4,0,,,1,1996-11-25,2003-03-06,,1,1_4300867,1_4300867,1_4300867
1,4300466,1,,4300466,4300466,82,0,,,0,2003-02-17,2011-02-21,,1,1_4300466,1_4300466,1_4300466
1,4300757,1,,4300757,4300757,10,0,,,1,1996-11-25,2003-03-06,,1,1_4300757,1_4300757,1_4300757
1,4300351,1,,4300351,4300351,47,0,,,1,1995-11-14,2003-01-01,,1,1_4300351,1_4300351,1_4300351
1,4300878,1,,4300878,4300878,10,0,,,0,1995-11-20,2011-02-28,,1,1_4300878,1_4300878,1_4300878
1,4300673,1,,4300673,4300673,9,0,,,1,1996-01-01,2000-04-04,,1,1_4300673,1_4300673,1_4300673
1,4301051,1,,4301051,4301051,3,A,,,1,1995-11-21,2011-02-21,,1,1_4301051,1_4301051,1_4301051
1,4000141,1,,4000141,4000141,77,,,,1,1995-11-15,2010-05-01,,1,1_4000141,1_4000141,1_4000141
1,4301191,1,,4301191,4301191,28,0,,,1,1997-07-15,2003-03-06,,1,1_4301191,1_4301191,1_4301191
1,4301319,1,,4301319,4301319,17,0,,,0,2001-02-07,2011-02-17,,1,1_4301319,1_4301319,1_4301319
1,4300728,1,,4300728,4300728,3,0,,,1,1995-11-20,2001-08-09,,1,1_4300728,1_4300728,1_4300728
1,4300983,1,,4300983,4300983,3,A,,,1,1995-11-20,2006-05-02,,1,1_4300983,1_4300983,1_4300983
1,4300985,1,,4300985,4300985,4,A,,,1,1995-11-20,2011-04-14,,1,1_4300985,1_4300985,1_4300985
1,4301118,1,,4301118,4301118,77,0,,,1,1996-02-16,2002-03-01,,1,1_4301118,1_4301118,1_4301118
1,4000688,1,,4000688,4000688,,,,,0,2012-03-02,,,1,1_4000688,1_4000688,1_4000688
1,4300128,1,,4300128,4300128,81,0,,,1,1995-11-13,2002-01-01,,1,1_4300128,1_4300128,1_4300128
1,4300962,1,,4300962,4300962,3,0,,,1,1995-11-20,2004-12-14,,1,1_4300962,1_4300962,1_4300962
1,4000687,1,,4000687,4000687,,,,,0,2012-01-12,,,1,1_4000687,1_4000687,1_4000687
1,4301259,1,,4301259,4301259,3,0,,,1,1998-11-16,2003-03-13,,1,1_4301259,1_4301259,1_4301259
1,4301052,1,,4301052,4301052,5,NO VISITA,,,1,1996-11-27,2011-04-15,,1,1_4301052,1_4301052,1_4301052
1,4300668,1,,4300668,4300668,48,0,,,1,1995-11-20,2003-03-06,,1,1_4300668,1_4300668,1_4300668
1,4301082,1,,4301082,4301082,9,0,,,1,1996-11-27,1997-04-04,,1,1_4301082,1_4301082,1_4301082
1,4301133,1,,4301133,4301133,28,0,,,0,1996-06-25,2011-02-28,,1,1_4301133,1_4301133,1_4301133
1,4300575,1,,4300575,4300575,4,0,,,1,1995-11-16,2003-03-06,,1,1_4300575,1_4300575,1_4300575
1,4300091,1,,4300091,4300091,82,0,,,1,1995-11-14,2011-02-21,,1,1_4300091,1_4300091,1_4300091
1,4300289,1,,4300289,4300289,46,0,,,1,1995-11-14,2003-03-06,,1,1_4300289,1_4300289,1_4300289
1,4301147,1,,4301147,4301147,5,0,,,1,1996-11-11,2001-08-09,,1,1_4301147,1_4301147,1_4301147
1,4301065,1,,4301065,4301065,1,0,,,1,1996-11-27,1997-01-01,,1,1_4301065,1_4301065,1_4301065
1,4300846,1,,4300846,4300846,82,0,,,1,1995-11-20,2001-08-09,,1,1_4300846,1_4300846,1_4300846
1,4301273,1,,4301273,4301273,6,0,,,1,1999-02-17,2008-01-01,,1,1_4301273,1_4301273,1_4301273
1,4000408,1,,4000408,4000408,77,,,,0,1995-11-15,,,1,1_4000408,1_4000408,1_4000408
1,4300491,1,,4300491,4300491,41,0,,,1,1995-11-16,2003-03-06,,1,1_4300491,1_4300491,1_4300491
1,4301039,1,,4301039,4301039,77,0,,,1,1995-11-21,2011-04-15,,1,1_4301039,1_4301039,1_4301039
