empresa,almacen,codigo_pago,subcta,concepto,diario,empresa_id,almacen_id,codigo_pago_id,subcta_id,name
1,01,1,5700000,1,1,1,1_01,1,1_5700000,1_01_1
1,01,2,5700000,1,1,1,1_01,2,1_5700000,1_01_2
1,01,3,5700000,1,1,1,1_01,3,1_5700000,1_01_3
1,01,4,5700000,1,1,1,1_01,4,1_5700000,1_01_4
1,01,5,5700000,1,1,1,1_01,5,1_5700000,1_01_5
1,01,6,5700000,1,1,1,1_01,6,1_5700000,1_01_6
1,01,7,5700000,1,1,1,1_01,7,1_5700000,1_01_7
1,01,8,5700000,1,1,1,1_01,8,1_5700000,1_01_8
1,01,9,5700000,1,1,1,1_01,9,1_5700000,1_01_9
1,01,10,5700000,1,1,1,1_01,10,1_5700000,1_01_10
1,01,11,5700000,1,1,1,1_01,11,1_5700000,1_01_11
1,01,12,5700000,1,1,1,1_01,12,1_5700000,1_01_12
1,01,13,5700000,1,1,1,1_01,13,1_5700000,1_01_13
1,01,14,5700000,1,1,1,1_01,14,1_5700000,1_01_14
1,01,15,5700000,1,1,1,1_01,15,1_5700000,1_01_15
