usuario,empresa,tpv,subcta_contado_s,subcta_contado_n,importe_maximo,subcta_caja,subcta_pendte,concepto_caja,concepto_pendte,concepto_cliente,tipo_contado_1,idioma_1,tipo_contado_2,idioma_2,tipo_pgo_auxiliar,idioma_auxiliar,numero_s0401_1,numero_s0401_2,tarifa_1,tarifa_2,tarifa_3,tarifa_4,report_presupuesto,report_pedido,report_albaran,report_factura,report_tiquet,subcta_tiquet_n,empresa_id,subcta_contado_s_id,subcta_contado_n_id,subcta_caja_id,subcta_pendte_id,idioma_1_id,idioma_2_id,idioma_auxiliar_id,name
xsinfo,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_xsinfo_1
inagasa6,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa6_1
grafic,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_grafic_1
inagasa3,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa3_1
inagasa5,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa5_1
inagasa7,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa7_1
ina4,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_ina4_1
ina3,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_ina3_1
inagasa4,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa4_1
inagasa1,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa1_1
inagasa2,1,1,430000000,430099999,100.00000,5700000,430077777,52,11,52,CO,1,CO,1,GE,1,,,1,,,,,,,,,,1,1_430000000,1_430099999,1_5700000,1_430077777,1,1,1,1_inagasa2_1
