codigo_pago,descripcion,tipo,name
1,Efectiu,1,1
2,Xec,3,2
3,Tarja Banc Intnal.,9,3
4,Tarja Banc Agricola,9,4
5,Tarja Central Hispa,9,5
6,Tarja B.C. Andorra,9,6
7,Tarja Visa,9,7
8,Targes varies,9,8
9,Tarja La Caixa,9,9
10,Tarja C. Catalunya,9,10
11,Tarja 6000,9,11
12,Tarja MASTER CARD,9,12
13,Tarja Servi Red,9,13
14,Tarja Visa BBV,9,14
15,Tarja Visa BCH,9,15
100,APUNTE CLIENTE,100,100
125,APUNTE DTO DOS,125,125
150,APUNTE DTO TRES,150,150
175,APUNTE CGO DOS,175,175
200,APUNTE CGO FINANCIER,200,200
225,APUNTE DTO PP,225,225
250,APUNTE VENTAS,250,250
275,APUNTE VENDEDOR UNO,275,275
300,APUNTE VENDEDOR DOS,300,300
325,APUNTE VENDEDOR TRAS,325,325
350,APUNTE COMI. VENTAS,350,350
375,APUNTE IVA,375,375
400,APUNTE CAJA,400,400
425,APUNTE COBRO CLIENTE,425,425
900,APUNTE DE TRANSFERS,900,900
901,TRANSFERS EMPRESAS,901,901
