codigo,nombre,direccion,poblacion,provincia,pais,cp,telefono,fax,p_contacto,observaciones,name
1,REPARTO,,,8,34,740,,,,,1
2,TEISA,"C/Templer Guidó, 34-Po.Ind.Palau",PALAU DE PLEGAMANS,8,34,184,938644411-938602300,938648310-938644146,,,2
4,CANALS,"Peru, 122-134",BARCELONA,8,34,,,,,,4
3,PUJOL,"Tanger, 29",BARCELONA,8,34,,,,,,3
46,"HELGUERA, TRANSPORTS",ZONA FRANCA,BARCELONA,8,34,,932639200,,,PARETS 5621500 CENTRAL,46
72,GUILLEN MARITIMO S.A.,"C/ Metalurgica, 17",L'HOSPITALET DE LLOBREGAT,8,34,908,934212777,932231271,SR.BERNET (ENCARGADO),,72
7,VISA,"C/antigua de Valencia, 10",BARCELONA,8,34,,3084650/8031331-0768,,SR. JOSEP,,7
9,ARAMBURU-COTEMAR,"Consell de Cent, 484",BARCELONA,8,34,,932258367,,,,9
10,"TRESSERRAS,TRANSPORTES S.A.","LES MINETES ZONA C,NAVE 8",SANTA PERPETUA MOGODA,8,34,130,935443270,935443277,SR.,,10
11,POL,"Alamogabers, 43",BARCELONA,8,34,,,,,,11
12,NOVATRANSA,Gral. Manso 98,BARCELONA,8,34,,933033911,,SRTA. Mª JOSE,,12
13,"RAY, AGENCIA",,,,,,,,,,13
14,CITOURS,"C/Pallars, 65",BARCELONA,8,34,,,,,,14
15,ACENCIA NORD S.L.,"P.I.CAN ROCA Mar Meditarrani,Par.14",SANTA PERPETUA DE MOGODA,8,34,130,935446969,935446966,,"COMERCIAL CATALANA-LUCHANA,75-BARCELONA-TEL.933098062",15
16,SEUR,"Avda.del Progreso,11-P.CAN CALDERON",VILADECANS,8,34,,936357500,,,SEUR-INTERNACIONAL 933368585,16
17,"EL MINUTO, TRANSPORTES",,,,,,,,,,17
18,BUYTRAGO,"Pol.Ind. Can Volart. C/Garbí, s/n",PARETS DEL VALLES,8,34,150,938611480,938611530 RECOGIDAS,,"AÑO 2007 EXP.180305 RECOME EXTRAVIADA VALOR 261,44 NO PAGAN",18
19,"PUIG, RECADERO","C/Alibey, 59",,,,,,,,,19
20,"ARAGONESES, TRANSPORTES",,,,,,,,,,20
21,PALOS,"Luchana, 15",BARCELONA,8,34,,,,,,21
22,"CASAS, TRANSPORTES","Ali bey, 65",BARCELONA,8,34,,,,,,22
23,RECADEROS,"Comercio, 28",BARCELONA,8,34,,,,,,23
24,PENTATRANS,"C/ Pedro IV, 11",BARCELONA,8,34,,,,,,24
25,"ACHA S.A., TRANSPORTES","AVDA. DE LA LIBERTAD, 1-15",MONTORNES DEL VALLES,8,34,170,935723000,935720722,SRTA. MONTSE,,25
26,TRANSXTAR  M.ESCALERA S.L.,,BARCELONA,8,34,,936306022,,,,26
